"","bicyclette","tv","radio","moto","generatrice","cellulaire","voiture","bateau","fusil","panneau","moulin","tronconeuse","houes","machette","tracteur","hache","boeuf","cheval"
"X323",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X324",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X325",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X326",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X327",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X328",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X329",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X330",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X331",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"X332",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X333",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X334",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X335",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X336",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X337",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X338",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X339",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"X340",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"X341",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"X342",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
