ID,material:end_chauf,material:autre_end_chauf,material:dist_chauf,material:droit_chauf,material:usage_chauf,material:oui_oeuvre,material:end_oeuvre,material:autre_end_oeuvre,material:dist_oeuvre,material:droit_oeuvre,material:usage_oeuvre,material:oui_charbon,material:end_charbon,material:autre_end_charbon,material:dist_charbon,material:droit_charbon,material:usage_charbon,material:oui_medicinal,material:end_medicinal,material:autre_end_medicinal,material:dist_medicinal,material:droit_medicinal,material:usage_medicinal,material:oui_viande,material:end_viande,material:autre_end_viande,material:dist_viande,material:droit_viande,material:usage_viande,material:oui_poisson,material:end_poisson,material:autre_end_poisson,material:dist_poisson,material:droit_poisson,material:usage_poisson,material:dist_eau,material:droit_eau,material:oui_Fumbwa,material:end_Fumbwa,material:autre_end_Fumbwa,material:dist_Fumbwa,material:droit_Fumbwa,material:usage_Fumbwa,material:oui_feuille,material:end_feuille,material:autre_end_feuille,material:dist_feuille,material:droit_feuille,material:usage_feuille,material:oui_emballage,material:end_emballage,material:autre_end_emballage,material:dist_emballage,material:droit_emballage,material:usage_emballage,material:oui_kola,material:end_kola,material:autre_end_kola,material:dist_kola,material:droit_kola,material:usage_kola,material:oui_chenille,material:end_chenille,material:autre_end_chenille,material:dist_chenille,material:droit_chenille,material:usage_chenille,material:oui_miel,material:end_miel,material:autre_end_miel,material:dist_miel,material:droit_miel,material:usage_miel,pfnl
326,c j fm,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,c fs j fm,null,minutes30,a pa,f v d,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v d,oui,fs j,null,plus1,a pa,f v d,oui,fs j fm,null,plus1,a,f d,oui,c fs j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Champignons, liane, igname"
327,tout,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus2,a,f v d,minutes30,a,oui,j fm,null,min30a60,a,a v d,oui,fm,null,min30a60,a,f v d,oui,j,null,min30a60,a,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
328,c fs j fm,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,oui,c j fm,null,minutes30,a pa,f v d,non,,null,null,,,oui,Marécage,null,plus1,a pa,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,fs j,null,plus1,a pa,f d,non,,null,null,,,oui,c fp fs j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Igname, champignons"
329,fm,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,0
330,c fs j,null,min30a60,a pa,f d,oui,fs fm,null,plus2,a pa,f v d,non,,null,null,,,oui,c j fm,null,min30a60,a pa,f v d,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a,oui,fs j fm,null,min30a60,a pa,v d,oui,fm,null,plus1,a pa,f v d,oui,fs j,null,min30a60,a pa,f v d,oui,fs fm,null,plus1,a pa,f v d,oui,c fs j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Champignon, igname,"
331,c,null,plus1,a pa,f d,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f d,oui,j,null,plus1,pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons, légumes sauvages(mpomola)"
332,c j,null,minutes30,pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,pa,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Champignons,"
333,j,null,plus2,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a c,non,,null,null,,,non,,null,null,,,oui,j,null,plus4,pa,f v,non,,null,null,,,oui,tout,null,plus1,a,f d,non,,null,null,,,Rien
334,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a,f,non,,null,null,,,oui,Fans la foret marecageuse,null,plus4,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a pa,f v,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,Rien
335,tout,null,plus1,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Foret marecageuse,null,plus4,a,f v d,minutes30,a c,oui,tout,null,plus2,a,f v,oui,fm,null,plus4,a,f v d,oui,tout,null,plus2,a c e,f v d,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Rien
336,c j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,c j,null,min30a60,a,f d,oui,c fp fs j fm,null,plus2,a,f v d,oui,Marécage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus2,a,f v d,oui,fs j,null,plus2,a,f v d,oui,fs j fm,null,min30a60,a,f v d,oui,c fs j fm,null,minutes30,a,f v d,non,,null,null,,,"Champignons, mpose ( dynaste= larve de coléoptères)"
337,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,minutes30,a,f,minutes30,a,non,,null,null,,,oui,fm,null,null,a,f v,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f,non,,null,null,,,Champignons
338,c fs j,null,min30a60,a pa,f d,oui,fs fm,null,plus1,a pa,f v d,non,,null,null,,,oui,c j fm,null,min30a60,a pa,f v d,non,,null,null,,,oui,Marécage,null,min30a60,a pa,f v d,minutes30,a,oui,fs j fm,null,plus1,a,v d,oui,fm,null,plus2,a pa,f v d,oui,fs j,null,plus1,a pa,f v d,oui,fs fm,null,plus1,a pa,f v d,oui,c fp fs j fm,null,minutes30,a pa,f v d,oui,fs fm,null,plus1,a pa,f v d,"Champignons, ntondolo, noix de palme"
339,j,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,min30a60,a,f,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,Champignon
340,c,null,min30a60,a,f d,oui,fm,null,minutes30,pa,v,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,oui,Marecage,null,minutes30,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v,oui,j,null,min30a60,a,f v,oui,j,null,minutes30,a,f v d,oui,tout,null,plus1,a,f v d,oui,fm,null,plus1,a,f v d,"Champignons, ignames sauvages"
341,c j fm,null,min30a60,a pa,f d,oui,fs fm,null,plus1,a pa,f v d,non,,null,null,,,oui,fs fm,null,min30a60,a pa,f v d,non,,null,null,,,oui,Marécage,null,plus1,a pa,f v d,min30a60,a,non,,null,null,,,oui,fm,null,min30a60,a,f v d,oui,fs j,null,plus1,a pa,f v d,non,,null,null,,,oui,fs fm,null,plus1,a pa,f v d,oui,fs fm,null,plus1,a pa,f v d,"Champignons, ignames, serpent,"
342,tout,null,min30a60,a,f,oui,fm,null,min30a60,a,v,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,minutes30,a,f,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f,non,,null,null,,,Champignons
343,j,null,minutes30,a pp,f,non,,null,null,,,oui,fp,null,plus1,a pa,f v,oui,tout,null,plus2,a pa,f v,non,,null,null,,,oui,Dans ma foret marecageuse,null,plus1,a pp,f v,minutes30,pp,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Rien
344,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f,non,,null,null,,,oui,Marecage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f v,oui,j,null,plus2,a,f v d,non,,null,null,,,oui,tout,null,plus2,a,f v d,non,,null,null,,,"Ignames sauvages, légumes sauvages(mpomolo)et  fruits sauvages, champignons et corde de liane"
345,c,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,non,,null,null,,,oui,fp j,null,plus1,c,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
346,tout,null,plus1,a pp,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Dans la foret marécageuse,null,plus4,a,f v,minutes30,pp,non,,null,null,,,oui,fm,null,min30a60,a,f,oui,tout,null,plus4,a pa,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v d,Champignon et Matonge
347,c,null,plus1,a pa,f v d,oui,fm,null,plus1,pa,f v d,oui,j,null,min30a60,a,f v d,oui,j,null,minutes30,a,f v d,oui,fm,null,plus1,a,f v d,oui,Marecages,null,plus1,a,f v d,minutes30,a,oui,fm,null,minutes30,a,f v d,oui,fm,null,plus2,a,f v d,oui,j,null,plus1,a,f v d,oui,j,null,minutes30,a,f v d,oui,tout,null,plus1,a,f v d,oui,fm,null,plus1,a,f v d,"Cordes de lianes, champignons, ignames sauvages"
348,fp j fm,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f v d,oui,fp fm,null,plus1,a,f v d,oui,Marécage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f v d,oui,j,null,min30a60,a,f v d,oui,tout,null,min30a60,a,f v d,oui,tout,null,min30a60,a,f v d,non,,null,null,,,Champignons.
349,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,minutes30,a,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,Non
350,j,null,plus2,pp,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a c,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a pa,f v,non,,null,null,,,oui,tout,null,plus4,a,f v,non,,null,null,,,"Champignons,"
351,j,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus4,a,f v d,min30a60,a,oui,j fm,null,min30a60,a,v d,oui,fm,null,plus1,a,f v d,oui,j,null,min30a60,a,f v d,oui,fp fs j,null,plus1,a,f v d,oui,j,null,plus1,a,f v d,oui,fm,null,plus1,a,f v d,Champignon
352,tout,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,min30a60,a,non,,null,null,,,oui,fm,null,plus1,a,f v d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Les champignons.
353,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,oui,tout,null,plus2,a pa,f,non,,null,null,,,oui,tout,null,plus2,a,f,non,,null,null,,,non,,null,null,,,Non
354,c fs fm,null,minutes30,a,f,oui,fm,null,minutes30,a,f v,non,,null,null,,,oui,j fm,null,minutes30,a,f,non,,null,null,,,oui,Marecage,null,min30a60,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f,non,,null,null,,,Champignons
355,c,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,oui,fm,null,minutes30,a,f,oui,fm,null,min30a60,a,f v d,oui,Ruisseaux,null,plus2,a,f v d,minutes30,a,oui,fm,null,min30a60,a,v,oui,fm,null,min30a60,a,f v d,oui,j,null,min30a60,a,f v d,oui,fm,null,min30a60,a,f v d,oui,j fm,null,min30a60,a,f v d,oui,fm,null,min30a60,a,f v d,"Ignames, champignon, corde de liane"
356,c fm,null,minutes30,a,f,non,,null,null,,,oui,fm,null,minutes30,a,f v,non,,null,null,,,non,,null,null,,,oui,Marécage,null,minutes30,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,Champignon
357,c j,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marécage,null,plus1,a pa,f d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus2,pa,f d,oui,fs,null,plus4,a,f v d,oui,fs j,null,plus1,a pa,f v d,non,,null,null,,,Non
358,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f,non,,null,null,,,oui,Marecage,null,plus2,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Igname sauvage, cordes de lianes, légumes sauvages"
359,j,null,min30a60,a,f,oui,fm,null,minutes30,a,f v,oui,fm,null,minutes30,a,f v,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus1,a,f v,minutes30,a,oui,tout,null,plus1,a,v,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,Champignon
360,j,null,plus4,pa,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,non,null,null,null,,,minutes30,a pa,non,,null,null,,,non,,null,null,,,oui,tout,null,plus4,a pa,f v,non,,null,null,,,oui,tout,null,plus2,a pa,f v,oui,tout,null,plus2,a pa,f v,Non
361,c,null,min30a60,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,oui,Marécage,null,plus4,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,plus1,a,f d,oui,j,null,plus1,a,f v d,oui,j fm,null,plus1,a,f v d,non,,null,null,,,non,,null,null,,,"Ignames sauvages, légumes sauvages, fruits sauvages, cordes de lianes, champignons"
362,j,null,plus1,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f,non,,null,null,,,oui,Dans nos rivieres peripherique,null,plus1,a,f,plus1,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,oui,tout,null,plus2,a pa,f v d,non,,null,null,,,Non
363,c fs j fm,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j fm,null,min30a60,a pp,f v d,oui,Marécage,null,min30a60,a pp,f v d,plus1,a pp,non,,null,null,,,oui,fm,null,plus1,a,f v d,oui,fs j,null,min30a60,a pa,f v d,oui,fs j fm,null,plus1,a pa,f v d,oui,c j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Igname, champignons, beondjo ( Allanblackia floribunda), noix de palme"
364,c j fm,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,min30a60,a pa,f d,oui,c j fm,null,min30a60,a pa,f v d,oui,Marécage,null,min30a60,a pa,f v d,min30a60,a pa,non,,null,null,,,oui,fm,null,plus1,a pa,f v d,oui,fs j,null,min30a60,a pa,f v d,non,,null,null,,,oui,c j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Champignons, lianes, il gname"
365,c j fm,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,j,null,minutes30,a,f d,non,,null,null,,,oui,Marécage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,min30a60,a,f d,non,,null,null,,,oui,c fs j fm,null,min30a60,a,f d,non,,null,null,,,Champignon
366,c,null,min30a60,a,f d,non,,null,null,,,oui,j fm,null,min30a60,a,f v d,non,,null,null,,,oui,fm,null,plus1,a,f v d,oui,Ruisseaux,null,plus1,a,f v d,minutes30,a,oui,j fm,null,plus1,a,v d,oui,fm,null,plus2,a,f v d,oui,j,null,plus1,a pa,f v d,oui,fp,null,plus2,a,f v d,oui,j fm,null,min30a60,a,f v d,oui,fm,null,plus1,a,f v d,"Champignons,ignames sauvages,cordes de lianes,légumes sauvages, fruits sauvages"
367,c,null,min30a60,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,0
368,tout,null,plus1,a,f,oui,tout,null,plus2,a,f v,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Dans les différentes rivieres de Buya,null,plus1,a,f,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a,f v,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Non
369,c,null,plus1,a,f d,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f d,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f,non,,null,null,,,oui,tout,null,plus1,a,f d,non,,null,null,,,"Champignon sauvages, légume sauvage(ndjendje)"
370,tout,null,plus1,a pa,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a pa,f,non,,null,null,,,oui,Dans les ruisseaux de Buya,null,plus2,a pa,f,minutes30,a,non,,null,null,,,non,,null,null,,,oui,tout,null,plus2,a pa,f v,non,,null,null,,,oui,tout,null,plus1,a,f v,non,,null,null,,,Non
371,j,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a pa,f,non,,null,null,,,non,null,null,null,,,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,plus1,a,f v,oui,tout,null,plus1,a,f v,oui,tout,null,plus2,a,f v,Non
372,c,null,minutes30,a,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fm,null,plus1,a,f v d,oui,Marécage,null,plus1,a,f v d,minutes30,a,non,,null,null,,,oui,fm,null,minutes30,a,f v d,oui,j,null,minutes30,a,f d,non,,null,null,,,oui,c j,null,minutes30,a,f v d,non,,null,null,,,Champignons
373,tout,null,plus1,a,f d,non,,null,null,,,oui,j,null,plus1,pa,f v d,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus4,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a,f v d,non,,null,null,,,Champignon
374,c,null,plus1,a pa,f d,non,,null,null,,,non,,null,null,,,oui,j,null,plus1,a pa,f d,non,,null,null,,,oui,Marécage,null,plus4,a,f v d,minutes30,a,oui,fm,null,plus2,a,v,oui,fm,null,plus2,a,f v d,oui,j,null,plus1,a,f v d,non,,null,null,,,oui,j fm,null,plus2,a,f v d,oui,fm,null,plus2,a,f v d,"Les ignames sauvages ,fruits et les champignons."
375,c j fm,null,minutes30,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,j fm,null,min30a60,a pa,f v d,oui,Marécage,null,min30a60,a pa,f v d,min30a60,a pa,non,,null,null,,,oui,fm,null,min30a60,a pa,f v d,oui,j,null,min30a60,a pa,f v d,oui,c j fm,null,min30a60,a pa,f v d,oui,c j fm,null,min30a60,a pa,f v d,oui,fm,null,plus1,a pa,f v d,"Champignons, igname"
376,c j fm,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,oui,j fm,null,min30a60,a pa,f d,non,,null,null,,,oui,Marécages,null,plus1,a pa,f v d,minutes30,a pa,non,,null,null,,,oui,fm,null,min30a60,a pa,f v d,oui,j,null,min30a60,a pa,f d,non,,null,null,,,oui,j fm,null,min30a60,a pa,f v d,non,,null,null,,,"Champignons, bambous, igname"
377,c j fm,null,min30a60,a,f d,non,,null,null,,,oui,c j fm,null,min30a60,a pa,f v d,oui,c j fm,null,min30a60,a pa,f d,non,,null,null,,,oui,Marécages,null,min30a60,a pa,f v d,minutes30,a pa,non,,null,null,,,non,,null,null,,,oui,c j fm,null,min30a60,a pa,f d,non,,null,null,,,non,,null,null,,,non,,null,null,,,"Noix de palme, boondjo ( Allanblackia floribunda), ngadiadia( Garcinia kola)"
378,c fp,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp fm,null,min30a60,a,f v d,oui,Marecage,null,min30a60,a,f v d,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,tout,null,minutes30,a,f,non,,null,null,,,Champignon
379,c j,null,min30a60,a,f,non,,null,null,,,oui,fp j,null,min30a60,a pa,f v,non,,null,null,,,non,,null,null,,,oui,Marecage,null,minutes30,a,f v,minutes30,a,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,fp j,null,min30a60,a,f v,oui,fp j fm,null,min30a60,a,f,non,,null,null,,,Champignons
380,tout,null,minutes30,a,f,non,,null,null,,,non,,null,null,,,non,,null,null,,,non,,null,null,,,oui,Marecage,null,plus2,a,f v,minutes30,a,non,,null,null,,,oui,fm,null,min30a60,a,f v,non,,null,null,,,non,,null,null,,,oui,tout,null,min30a60,a,f v,non,,null,null,,,Champignons
